Código,# reuniones,Anticipo,Ap Asociado,Ap Beneficiario,Aporte Corfo,BG Anticipo,BG Cumplimiento,Cap. Absorción (C1),Cap. Gestión I+D (C2),Cap. Orientación Mercado (C5),Cap. PI (C4),Cap. Red (C3),Capital levantado,Correo Beneficiaria,Correo Rep Legal,Cuadrantes Innovacion,Cuota 1,Cuota 2,Dirección,ETOld,Empresa,Estado,Estado del prototipo,Estado ronda,Estado ventas,FR Inf. Av,FR Inf. Final,FR Inf. Hito,Fecha última evaluación,Fuente capital,ID Proyecto,Inf. Avance,Inf. Final,Inf. Hito ,Instrumento,Last Contact,Monto Total,Monto ventas acumulado,Nivel Aprendizajes,Nivel Mercado,Nivel Técnico,Número de clientes,Objetivos principales,Observación ejecutivo,Partners tecnológicos,Pipeline comercial,Proyecto,Recomendaciones,Representante Legal,Resultado General,Resumen del proyecto,Riesgo BG Ant,Riesgo BG Cump,Rut Empresa,SCI,SRI,Score Aprendizajes,Score Mercado,Score Técnico,Sector industria,TRL estimado,Tiene PI registrada,Tipo PI,Tipo innovación,Tipo último informe,Validación datos reales,Satisfacción NPS,Monto ahorros acumulado,Doctores en el proyecto,Personal especializado,Región ejecución,Región impacto,Gasto I+D,Dotación total,Outputs de conocimiento,IRL CRL,IRL TRL,IRL BRL,IRL IPRL,IRL TMRL,IRL FRL,Eslabón más débil IRL
IATS-1010,,,,,,,,3,3,2,1,3,0,,,En construcción,,,,,Ístmica Minería SpA,Próximos meses,Prototipo Funcional,Cerrada,Sin ventas,,,,"April 10, 2026",Bootstrapping,,,,,Innova Alta Tecnología,,"CLP 597,746,000",0,Parcialmente logrado,Insuficiente,Parcialmente logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Ístmica (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.55,2.69,2.7,2.3,3.2,Mineria,TRL 5,No,,Proceso,Informe Avance 3,No,7,0,3,8,Metropolitana,Metropolitana,"CLP 218,790,000",28,0,3,5,2,2,5,5,BRL (2)
CVC-1011,,,,,,,,2,2,1,1,2,0,,,En construcción,,,,,Júpiter Clean SpA,En reprogramacion,Prototipo,No aplica,Sin ventas,,,,"January 12, 2026",,,,,,Crea y Valida,,"CLP 366,790,000",0,Insuficiente,No logrado,Parcialmente logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Júpiter (demo),Recomendaciones del ejecutivo (texto de demostración).,,Insuficiente,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,1.65,2.17,2.1,1.6,3.0,Mineria,TRL 4,No,,Producto,Informe Hito,No,6,0,3,11,La Araucanía,La Araucanía,"CLP 141,150,000",7,6,3,4,2,2,3,2,BRL (2)
CVC-1012,,,,,,,,3,3,3,2,3,0,,,En construcción,,,,,Kelpia Marina SpA,Próximos meses,Prototipo,No aplica,Sin ventas,,,,"January 28, 2026",Bootstrapping,,,,,Crea y Valida,,"CLP 478,293,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Kelpia (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.85,3.33,3.3,3.0,3.8,Mineria,TRL 5,No,,Producto,Informe Hito,No,7,0,1,12,Maule,Maule,0,29,0,3,5,2,2,5,2,BRL (2)
CVCS-1013,,,,,,,,4,3,4,2,4,0,,,Innovadores consolidados,,,,,Lumen Óptica SpA,Revisar Inf Avance,Prototipo Funcional,No aplica,Primeras ventas,,,,"February 4, 2026",Bootstrapping,,,,,Crea y Valida,,"CLP 480,787,000","CLP 3,498,000",Logrado,Logrado,Logrado,2,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Lumen (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.50,3.90,4.2,3.9,3.6,Mineria,TRL 5,No,,Proceso,Informe Avance 1,No,6,0,0,6,Maule,Maule,"CLP 133,824,000",31,0,6,5,6,2,6,2,IPRL (2)
CVI-1014,,,,,,,,3,4,4,2,3,0,,,Resultados sin base,,,,,Magma Industrial SpA,Cerrar IA,Prototipo Funcional,Preparando,Piloto pagado,,,,"January 27, 2026",,,,,,Crea y Valida,,"CLP 110,976,000","CLP 37,476,000",Logrado,Logrado,Logrado,1,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Magma (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.25,3.90,4.2,3.9,3.6,Mineria,TRL 7,No,,Producto,Informe Avance 1,Yes,10,0,0,8,Metropolitana,Metropolitana,"CLP 75,950,000",24,3,5,7,4,2,6,3,IPRL (2)
CVI-1015,,,,,,,,3,3,2,2,2,0,,,En construcción,,,,,Nimbo Cloud SpA,Próximos meses,PMV,Preparando,Sin ventas,,,,"February 16, 2026",,,,,,Crea y Valida,,"CLP 150,434,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,,Pipeline de demostración.,Proyecto Nimbo (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.50,3.03,3.3,2.4,3.6,Mineria,TRL 5,No,,Producto,Informe Avance 1,No,7,0,3,6,Biobío,Biobío,"CLP 286,624,000",8,0,3,5,2,2,5,3,BRL (2)
CVI-1016,,,,,,,,4,3,3,5,4,0,,,Innovadores consolidados,,,,,Orbita Logística SpA,En reitemizacion,Prototipo Funcional,Preparando,Sin ventas,,,,"March 2, 2026",,,,,,Crea y Valida,,"CLP 245,648,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Orbita (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.75,3.54,3.3,3.6,3.7,Agricultura,TRL 6,Yes,Patente provisoria,Producto,Informe Hito,Yes,8,"CLP 142,158,000",3,2,Antofagasta,Antofagasta,"CLP 72,184,000",39,0,3,6,2,5,6,3,BRL (2)
CVI-1017,,,,,,,,3,3,2,2,2,0,,,Resultados sin base,,,,,Pampa Hídrica SpA,Próximos meses,Prototipo Funcional,No aplica,Sin ventas,,,,"January 26, 2026",,,,,,Crea y Valida,,"CLP 205,562,000",0,Logrado,Parcialmente logrado,Logrado,1,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Pampa (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,2.50,3.59,3.5,3.2,4.2,Mineria,TRL 5,Yes,Secreto industrial,Producto,Informe Avance 1,No,7,0,3,2,Metropolitana,Metropolitana,"CLP 35,040,000",5,4,3,5,2,3,5,2,BRL (2)
IAT-1018,,,,,,,,4,4,1,1,3,0,,,En construcción,,,,,Quásar Devices SpA,Próximos meses,Prototipo Funcional,No aplica,Sin ventas,,,,"January 20, 2026",,,,,,Innova Alta Tecnología,,"CLP 1,157,042,000",0,Logrado,Insuficiente,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Quásar (demo),Recomendaciones del ejecutivo (texto de demostración).,,Parcialmente logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.00,3.19,4.4,1.9,3.7,Mineria,TRL 4,No,,Producto,Informe Avance 1,Yes,6,"CLP 122,667,000",0,7,Los Lagos,Los Lagos,"CLP 216,480,000",23,6,3,4,2,2,7,2,BRL (2)
IAT-1019,,,,,,,,4,4,3,3,4,0,,,Innovadores consolidados,,,,,Raíz Circular SpA,Cerrar IA,PMV,No aplica,Primeras ventas,,,,"January 23, 2026",,,,,,Innova Alta Tecnología,,"CLP 1,186,876,000",0,Logrado,Logrado,Logrado,1,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Raíz (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.70,4.02,4.2,3.6,4.4,Medio Ambiente,TRL 6,Yes,Patente provisoria,Producto,Informe Avance 2,Yes,6,0,3,11,Metropolitana,Metropolitana,0,11,0,6,6,6,5,7,2,FRL (2)
CYE-1020,,,,,,,,3,3,3,4,3,0,,,Resultados sin base,,,,,Sílice Avanzada SpA,Próximos meses,Producto Funcional,No aplica,Sin ventas,,,,"January 28, 2026",,,,,,Consolida y Expande,,"CLP 163,488,000",0,Logrado,Parcialmente logrado,Logrado,0,Objetivo 1 (demo); Objetivo 2 (demo); Objetivo 3 (demo).,Observación de seguimiento (texto de demostración).,Partner de demostración.,Pipeline de demostración.,Proyecto Sílice (demo),Recomendaciones del ejecutivo (texto de demostración).,,Logrado,Resumen del proyecto con fines de demostración del prototipo. El contenido real se carga de forma local y no se publica.,,,,3.15,3.65,3.6,3.2,4.3,Energia,TRL 7,Yes,Patente concedida,Producto,Informe Hito,Yes,10,"CLP 117,300,000",2,7,O'Higgins,O'Higgins,"CLP 189,152,000",18,3,3,7,2,8,5,2,BRL (2)
